Site,year,Experiment,plotID,treatment,Replicate,block,Row,Column,Accession,Code_ID,Variety_ID,plant.height,tassel.height,ear.height,anthesis,silking,anthesis.silking.interval,grain.number,grain.yield,grain.weight
Gaillac,2012,Gai12R,G72-01-1-1,rainfed,1,9,3,5,B73_H,3001,B73,170,230,105,64.7849117529,78.9055366062,-14.1206248532,1492.31678487,3.4112254902,228.5858823529
Gaillac,2012,Gai12R,G72-01-2-1,rainfed,2,7,11,16,B73_H,3001,B73,170,220,105,69.1907382303,78.9055366062,-9.7147983759,1521.0355987055,3.2439215686,213.2705882353
Gaillac,2012,Gai12R,G72-01-3-1,rainfed,3,3,19,21,B73_H,3001,B73,165,235,90,67.0282656168,81.6621384111,-14.6338727943,1960.2272727273,3.4043382353,173.6705882353
Gaillac,2012,Gai12W,G72-02-1-1,watered,1,26,7,11,B73_H,3001,B73,255,315,115,65.9788172736,64.7849117529,1.1939055206,4462.1749408983,12.5463235294,281.1705882353
Gaillac,2012,Gai12W,G72-02-2-1,watered,2,18,14,13,B73_H,3001,B73,280,340,160,69.1907382303,68.1234868243,1.0672514059,3987.3887240356,10.5602941176,264.8423529412
Gaillac,2012,Gai12R,G72-01-1-2,rainfed,1,15,4,20,PH207_H,3002,PH207,165,205,105,62.0608834049,68.1234868243,-6.0626034194,2334.7701149425,4.2950980392,183.9623529412
Gaillac,2012,Gai12R,G72-01-2-2,rainfed,2,8,11,27,PH207_H,3002,PH207,165,220,105,62.0608834049,63.3048330487,-1.2439496437,2199.6996996997,5.0915931373,231.4676470588
Gaillac,2012,Gai12R,G72-01-3-2,rainfed,3,22,24,13,PH207_H,3002,PH207,175,215,80,63.3048330487,64.7849117529,-1.4800787043,1983.4221432801,4.5914705882,231.4923529412
Gaillac,2012,Gai12W,G72-02-1-2,watered,1,11,3,20,PH207_H,3002,PH207,230,285,110,62.0608834049,62.0608834049,0,3806.7023445464,10.7198529412,281.6047058824
Gaillac,2012,Gai12W,G72-02-2-2,watered,2,12,12,27,PH207_H,3002,PH207,230,285,105,65.9788172736,65.9788172736,0,3283.9990489777,9.6822916667,294.8323529412
Gaillac,2012,Gai12R,G72-01-1-3,rainfed,1,17,5,2,Oh43_H,3003,Oh43,170,210,105,63.3048330487,81.6621384111,-18.3573053625,1375.4045307443,3.465,251.9258823529
Gaillac,2012,Gai12R,G72-01-2-3,rainfed,2,11,12,20,Oh43_H,3003,Oh43,185,230,105,71.7553055814,80.2021890789,-8.4468834974,1773.7896494157,4.26875,240.6570588235
Gaillac,2012,Gai12R,G72-01-3-3,rainfed,3,21,24,3,Oh43_H,3003,Oh43,165,190,95,67.0282656168,76.4636532233,-9.4353876064,1609.1051805338,4.0155882353,249.5541176471
Gaillac,2012,Gai12W,G72-02-1-3,watered,1,9,3,3,Oh43_H,3003,Oh43,250,300,110,67.0282656168,65.9788172736,1.0494483433,4176.4937106918,10.890625,260.76
Gaillac,2012,Gai12W,G72-02-2-3,watered,2,6,11,10,Oh43_H,3003,Oh43,260,305,130,65.9788172736,68.1234868243,-2.1446695508,4785.6049004594,12.7389705882,266.1935294118
Gaillac,2012,Gai12R,G72-01-1-4,rainfed,1,13,4,2,W64A_H,3004,W64A,170,220,105,62.0608834049,68.1234868243,-6.0626034194,1503.1152647975,3.1409803922,208.9647058824
Gaillac,2012,Gai12R,G72-01-2-4,rainfed,2,10,12,10,W64A_H,3004,W64A,135,200,105,69.1907382303,80.2021890789,-11.0114508486,1507.0921985816,3.6345833333,241.1652941176
