Experiment,Lat,Long,EC_water,EC_temp,Psi.mean,Tmax.mean,Tnight.mean,Rad.mean,VPDmax.mean,ET0.mean,type
Cam12R,45.171,9.532,WD,Hot,-0.116,36.5,20.9,434,3,4.6,CrossValidation
Cam12W,45.171,9.532,WW,Hot,-0.03,36.5,21,406,2.9,4.5,CrossValidation
Cam13R,45.171,9.532,WW,Hot,-0.086,36.5,21.6,464,2.6,4.2,CrossValidation
Cam13W,45.171,9.532,WW,Hot,-0.016,36.6,21.7,439,2.6,4.2,CrossValidation
Cra12R,44.116,24.348,WD,Hot,-0.118,36.4,22.6,437,4.1,4.6,CrossValidation
Cra12W,44.116,24.348,WW,Hot,-0.043,36.4,22.6,437,4.1,4.6,CrossValidation
Deb12R,47.182,20.542,WW,Cool,-0.054,32.5,18.4,374,2.3,3.9,CrossValidation
Deb12W,47.182,20.542,WW,Cool,-0.021,32.5,18.4,374,2.3,3.9,CrossValidation
Deb13R,47.182,20.542,WW,Cool,-0.067,32.6,18.4,436,2.8,3.6,CrossValidation
Gai12W,43.91,1.89,WW,Cool,-0.022,27.1,17.9,485,2.5,4.7,CrossValidation
Gai13R,43.91,1.89,WW,Hot,-0.069,36,21.3,595,3.5,4.9,CrossValidation
Gai13W,43.91,1.89,WW,Hot,-0.011,36,21.2,530,3.6,4.9,CrossValidation
Gra13R,-34.06,-70.73,WD,Hot(day),-0.227,37.7,15.2,776,4.1,6.2,CrossValidation
Kar12R,49.1,8.32,WW,Cool,-0.023,29.1,15.6,410,1.9,3,CrossValidation
Kar12W,49.1,8.32,WW,Cool,-0.024,29,15.8,364,1.9,3,CrossValidation
Kar13R,49.1,8.32,WW,Hot(day),-0.056,33.4,19.5,372,3,3.9,CrossValidation
Kar13W,49.1,8.32,WW,Hot(day),-0.1,33.7,19.7,354,3.1,3.9,CrossValidation
Mar13R,47.311,18.778,WD,Hot(day),-0.155,33.5,17.3,490,3.4,5.5,CrossValidation
Mar13W,47.311,18.778,WW,Hot(day),-0.09,33.5,17.3,490,3.4,5.5,CrossValidation
Mur13R,46.78,21.05,WW,Hot,-0.084,35.3,20,300,3.9,3.8,CrossValidation
Mur13W,46.78,21.05,WW,Hot,-0.027,35.4,20.5,340,3.9,3.9,CrossValidation
Ner12R,44.17,0.307,WD,Hot(day),-0.171,36.8,17.5,540,4.1,5.5,CrossValidation
Ner12W,44.17,0.307,WW,Hot(day),-0.057,36.8,17.5,540,4.1,5.5,CrossValidation
Ner13R,44.17,0.307,WD,Hot,-0.183,36.7,21.1,514,2.9,5,CrossValidation
Ner13W,44.17,0.307,WW,Hot,-0.031,36.8,21.2,461,2.9,5,CrossValidation
Ner11R,44.17,0.307,WW,Cool,-0.105,30.4,17.2,452,1.8,3.5,nE_ext
Ner11W,44.17,0.307,WW,Cool,-0.053,30.8,17,526,1.8,3.6,nE_ext
Kar11R,49.1,8.32,WW,Cool,-0.023,27.9,14.6,541,1.9,3.8,nE_ext
Kar11W,49.1,8.32,WW,Cool,-0.02,27.9,14.6,490,2,3.9,nE_ext
Deb11R,47.182,20.542,WW,Hot(day),-0.033,34.2,19.9,350,3,4.4,nE_ext
Deb11W,47.182,20.542,WW,Hot(day),-0.022,34.2,19.9,350,3,4.4,nE_ext
Cam11R,45.171,9.532,WW,Hot,-0.026,35,20.4,430,2.7,4.6,nE_ext
Cam11W,45.171,9.532,WW,Hot,-0.027,35,20.4,430,2.7,4.6,nE_ext
Ber14W,51.61,12.8,WW,Cool,-0.026,32.1,18.1,327,2.3,2.9,nE_ext
Blo14R,47.74,1.22,WW,Cool,-0.035,31.1,17,482,2.6,3.1,nE_ext
Blo14W,47.74,1.22,WW,Cool,-0.039,31.4,17.2,429,2.6,3.2,nE_ext
Sat14W,45.756,5.07,WW,Cool,-0.026,28.7,16.5,454,1.8,3.4,nE_ext
